step,potential_energy,temperature
324000,-3068.2000000000103,1.0704004
325000,-3056.600000000012,1.0700004
326000,-3143.6000000000145,1.0696004000000001
327000,-3300.2000000000157,1.0692004
328000,-3108.8000000000125,1.0688004
329000,-3161.000000000014,1.0684004
330000,-3097.200000000012,1.0680004
331000,-3190.000000000014,1.0676004
332000,-3166.800000000014,1.0672004
333000,-3103.000000000015,1.0668004
334000,-3085.60000000001,1.0664004
335000,-2998.600000000009,1.0660004
336000,-3004.400000000012,1.0656004000000001
337000,-3213.200000000008,1.0652004
338000,-3149.40000000001,1.0648004
339000,-3184.200000000012,1.0644004
340000,-3097.2000000000116,1.0640004
341000,-3149.4000000000124,1.0636004
342000,-3236.4000000000115,1.0632004
343000,-3120.4000000000133,1.0628004
344000,-3114.6000000000126,1.0624004
345000,-3230.600000000012,1.0620004
346000,-3114.6000000000095,1.0616004
347000,-3085.6000000000095,1.0612004
348000,-3230.60000000001,1.0608004
349000,-3132.000000000012,1.0604004
350000,-3045.000000000011,1.0600004
351000,-3108.800000000013,1.0596003999999999
352000,-3050.8000000000134,1.0592004
353000,-3079.8000000000097,1.0588004
354000,-2992.8000000000106,1.0584004
355000,-2998.600000000011,1.0580004
356000,-3126.2000000000085,1.0576004
357000,-3079.800000000011,1.0572004
358000,-2929.000000000009,1.0568004
359000,-2952.2000000000075,1.0564004
360000,-3010.2000000000094,1.0560004
361000,-3021.8000000000116,1.0556003999999999
362000,-3045.000000000011,1.0552004
363000,-3021.8000000000116,1.0548004
364000,-3045.0000000000095,1.0544004
365000,-3039.2000000000103,1.0540004
366000,-3103.0000000000073,1.0536004
367000,-3039.200000000008,1.0532004
368000,-3236.4000000000115,1.0528004
369000,-3137.80000000001,1.0524004
370000,-3120.4000000000124,1.0520004
371000,-3137.8000000000116,1.0516003999999999
372000,-3172.600000000013,1.0512004
373000,-3213.200000000011,1.0508004
374000,-3149.4000000000106,1.0504004
375000,-3166.80000000001,1.0500004
376000,-3132.00000000001,1.0496004
377000,-3143.600000000011,1.0492004
378000,-3108.8000000000116,1.0488004
379000,-3149.400000000012,1.0484004
380000,-3172.600000000012,1.0480004
381000,-3149.4000000000124,1.0476003999999999
382000,-3097.2000000000107,1.0472004
383000,-3224.8000000000125,1.0468004
384000,-3074.000000000014,1.0464004
385000,-3265.400000000015,1.0460004
386000,-3224.800000000012,1.0456004
387000,-3300.2000000000116,1.0452004
388000,-3271.200000000011,1.0448004
389000,-3300.2000000000126,1.0444004
390000,-3242.200000000013,1.0440004
391000,-3195.8000000000106,1.0436003999999999
392000,-3265.400000000012,1.0432004
393000,-3149.400000000013,1.0428004
394000,-3114.6000000000113,1.0424004
395000,-3195.800000000011,1.0420004
396000,-3219.000000000014,1.0416004
397000,-3184.2000000000135,1.0412004
398000,-3190.0000000000127,1.0408004
399000,-3201.6000000000126,1.0404004
400000,-3306.0000000000123,1.0400004
401000,-3259.6000000000113,1.0396003999999999
402000,-3294.400000000012,1.0392004
403000,-3323.400000000015,1.0388004
404000,-3253.8000000000106,1.0384004
405000,-3288.600000000012,1.0380004
406000,-3271.200000000013,1.0376004
407000,-3294.400000000012,1.0372004
408000,-3277.000000000009,1.0368004
409000,-3311.8000000000125,1.0364004
410000,-3317.600000000011,1.0360004
411000,-3236.4000000000106,1.0356004
412000,-3294.4000000000115,1.0352004
413000,-3364.0000000000095,1.0348004
414000,-3242.20000000001,1.0344004
415000,-3253.8000000000106,1.0340004
416000,-3288.600000000011,1.0336004
417000,-3300.2000000000116,1.0332004
418000,-3369.8000000000097,1.0328004
419000,-3294.400000000012,1.0324004
420000,-3439.400000000015,1.0320004
421000,-3358.2000000000153,1.0316004
422000,-3248.000000000011,1.0312004
423000,-3271.200000000014,1.0308004
424000,-3340.8000000000084,1.0304004
425000,-3358.200000000012,1.0300004
426000,-3323.40000000001,1.0296004
427000,-3358.200000000012,1.0292004
428000,-3404.600000000009,1.0288004
429000,-3375.600000000009,1.0284004
430000,-3474.200000000009,1.0280004
431000,-3497.4000000000124,1.0276004
432000,-3532.2000000000116,1.0272004
433000,-3462.6000000000126,1.0268004
434000,-3468.400000000013,1.0264004
435000,-3480.000000000015,1.0260004
436000,-3352.4000000000124,1.0256004
437000,-3364.0000000000177,1.0252004
438000,-3375.600000000013,1.0248004
439000,-3416.200000000012,1.0244004
440000,-3480.000000000012,1.0240004
441000,-3433.600000000009,1.0236004
442000,-3474.200000000012,1.0232004
443000,-3451.0000000000105,1.0228004
444000,-3456.8000000000093,1.0224004
445000,-3445.20000000001,1.0220004
446000,-3445.200000000011,1.0216004
447000,-3543.800000000012,1.0212004000000001
448000,-3503.2000000000144,1.0208004
449000,-3532.2000000000116,1.0204004
450000,-3578.6000000000095,1.0200004
451000,-3636.600000000013,1.0196004
452000,-3625.000000000014,1.0192004
453000,-3654.0000000000123,1.0188004
454000,-3538.000000000013,1.0184004
455000,-3474.200000000012,1.0180004
456000,-3572.8000000000143,1.0176004
457000,-3543.8000000000134,1.0172004000000001
458000,-3520.600000000013,1.0168004
459000,-3596.000000000013,1.0164004
460000,-3538.0000000000123,1.0160004
461000,-3561.2000000000144,1.0156004
462000,-3497.4000000000133,1.0152004
463000,-3543.800000000016,1.0148004
464000,-3532.200000000014,1.0144004
465000,-3538.0000000000136,1.0140004
466000,-3526.400000000015,1.0136004
467000,-3514.800000000015,1.0132004000000001
468000,-3567.0000000000105,1.0128004
469000,-3538.000000000014,1.0124004
470000,-3509.000000000013,1.0120004
471000,-3532.2000000000166,1.0116004
472000,-3596.000000000015,1.0112003999999999
473000,-3561.2000000000157,1.0108004
474000,-3555.400000000016,1.0104004
475000,-3578.600000000015,1.0100004
476000,-3578.600000000014,1.0096004
477000,-3503.200000000015,1.0092004
478000,-3543.800000000017,1.0088004
479000,-3526.4000000000174,1.0084004
480000,-3485.800000000015,1.0080004
481000,-3520.6000000000145,1.0076004
482000,-3601.8000000000125,1.0072003999999999
483000,-3613.400000000013,1.0068004
484000,-3630.8000000000147,1.0064004
485000,-3636.600000000019,1.0060004
486000,-3654.0000000000155,1.0056004
487000,-3665.6000000000154,1.0052004
488000,-3752.6000000000145,1.0048004
489000,-3741.0000000000127,1.0044004
490000,-3648.200000000016,1.0040004
491000,-3746.8000000000156,1.0036004
492000,-3659.8000000000116,1.0032003999999999
493000,-3648.2000000000135,1.0028004
494000,-3758.400000000014,1.0024004
495000,-3700.4000000000146,1.0020004
496000,-3700.4000000000124,1.0016004
497000,-3671.4000000000133,1.0012004
498000,-3717.8000000000143,1.0008004
499000,-3683.000000000014,1.0004004
500000,-3706.2000000000144,1.0000004
501000,-3694.600000000016,1.0
502000,-3828.0000000000155,1.0
503000,-3793.2000000000185,1.0
504000,-3735.200000000018,1.0
505000,-3723.600000000018,1.0
506000,-3723.6000000000186,1.0
507000,-3735.2000000000157,1.0
508000,-3677.200000000017,1.0
509000,-3845.400000000014,1.0
510000,-3851.200000000015,1.0
511000,-3880.200000000019,1.0
512000,-3874.4000000000183,1.0
513000,-3781.600000000018,1.0
514000,-3857.000000000021,1.0
515000,-3793.2000000000153,1.0
516000,-3717.800000000015,1.0
517000,-3886.0000000000173,1.0
518000,-3816.4000000000174,1.0
519000,-3828.000000000019,1.0
520000,-3886.000000000019,1.0
521000,-3880.200000000018,1.0
522000,-3880.20000000002,1.0
523000,-3822.200000000014,1.0
524000,-3955.6000000000186,1.0
525000,-3770.000000000016,1.0
526000,-3874.400000000017,1.0
527000,-3799.0000000000164,1.0
528000,-3897.600000000012,1.0
529000,-3938.2000000000157,1.0
530000,-3891.8000000000166,1.0
531000,-3891.800000000016,1.0
532000,-3804.8000000000175,1.0
533000,-3833.800000000015,1.0
534000,-3874.400000000013,1.0
535000,-3903.4000000000124,1.0
536000,-3886.0000000000136,1.0
537000,-3857.0000000000136,1.0
538000,-3828.0000000000127,1.0
539000,-3903.400000000011,1.0
540000,-3880.2000000000116,1.0
541000,-3915.0000000000146,1.0
542000,-3973.000000000014,1.0
543000,-4036.800000000015,1.0
544000,-4031.0000000000136,1.0
545000,-3984.600000000016,1.0
546000,-4060.000000000014,1.0
547000,-4054.2000000000135,1.0
548000,-3978.8000000000143,1.0
549000,-4036.800000000017,1.0
550000,-4042.6000000000186,1.0
551000,-3978.800000000019,1.0
552000,-3955.600000000017,1.0
553000,-4002.000000000017,1.0
554000,-4007.8000000000156,1.0
555000,-4048.4000000000165,1.0
556000,-4042.6000000000167,1.0
557000,-4007.8000000000156,1.0
558000,-3978.8000000000147,1.0
559000,-3949.800000000014,1.0
560000,-3990.4000000000156,1.0
561000,-3944.0000000000146,1.0
562000,-3996.2000000000135,1.0
563000,-3973.000000000015,1.0
564000,-3944.0000000000146,1.0
565000,-3961.4000000000115,1.0
566000,-4036.8000000000125,1.0
567000,-3961.4000000000146,1.0
